,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
210,Said Benrahma,West Ham ,4,330,0,1,0.61+0.61,0.27-0.73,0.17,0.07
211,Neal Maupay,Brighton ,3,240,0,0,0.90+0.90,0.19+0.19,0.34,0.07
212,Raúl Jiménez,Wolverhampton Wanderers ,3,181,0,2,0.17+0.17,0.52-1.48,0.08,0.26
213,Mateusz Klich,Leeds ,3,231,0,0,0.12+0.12,0.17+0.17,0.04,0.07
214,Emiliano Martinez,Aston Villa ,4,360,0,0,0.00,0.00,0.00,0.00
215,Adam Armstrong ,Southampton,3,181,0,1,1.14+1.14,0.64-0.36,0.57,0.32
216,Ashley Barnes,Burnley ,2,36,0,0,0.16+0.16,0.00,0.40,0.00
217,Kiko Femenía,Watford ,2,147,0,0,0.00,0.00,0.00,0.00
218,Álvaro Fernández,Brentford ,1,90,0,0,0.00,0.00,0.00,0.00
219,Kai Havertz,Chelsea ,3,171,0,0,0.64+0.64,0.58+0.58,0.34,0.31
220,Leon Bailey,Aston Villa ,2,112,0,1,0.13+0.13,0.05-0.95,0.11,0.04
221,Gabriel Jesus,Manchester City ,3,269,0,2,0.77+0.77,0.41-1.59,0.26,0.14
222,Luka Milivojevic,Crystal Palace ,3,235,0,0,0.02+0.02,0.24+0.24,0.01,0.09
223,Nick Pope,Burnley ,4,360,0,0,0.00,0.00,0.00,0.00
224,Ademola Lookman,Leicester ,2,124,0,0,0.09+0.09,0.00,0.06,0.00
225,Scott McTominay,Manchester United ,4,276,0,0,0.15+0.15,0.75+0.75,0.05,0.25
226,Aaron Wan-Bissaka,Manchester United ,4,360,0,0,0.03+0.03,0.47+0.47,0.01,0.12
227,Daniel James,Leeds ,4,348,0,1,0.97+0.97,0.17-0.83,0.25,0.04
228,Aaron Ramsdale,Arsenal ,4,360,0,0,0.00,0.00,0.00,0.00
229,Yves Bissouma,Brighton ,1,62,0,0,0.02+0.02,0.00,0.03,0.00
230,Anwar El Ghazi,Aston Villa ,2,23,0,0,0.00,0.02+0.02,0.00,0.07
231,Pierre Lees-Melou,Norwich ,3,221,0,0,0.10+0.10,0.03+0.03,0.04,0.01
232,Malang Sarr,Chelsea ,1,90,0,0,0.00,0.00,0.00,0.00
233,Nicolas Pepe,Arsenal ,3,119,0,0,0.19+0.19,0.00,0.15,0.00
234,Ismaila Sarr,Watford ,4,338,0,0,0.40+0.40,0.44+0.44,0.11,0.12
235,Giovani Lo Celso,Tottenham ,3,92,0,0,0.59+0.59,0.56+0.56,0.57,0.55
236,Fernando Marçal,Wolverhampton Wanderers ,2,167,0,0,0.00,0.00,0.00,0.00
237,Jean-Philippe Mateta,Crystal Palace ,1,2,0,0,0.00,0.00,0.00,0.00
238,Jan Bednarek ,Southampton,4,360,0,0,0.06+0.06,0.00,0.01,0.00
239,Charlie Taylor,Burnley ,3,270,0,1,0.04+0.04,0.74-0.26,0.01,0.25
240,Shane Duffy,Brighton ,3,270,0,0,0.20+0.20,0.00,0.07,0.00
241,Lewis Dunk,Brighton ,4,360,0,0,0.12+0.12,0.10+0.10,0.03,0.02
242,Solly March,Brighton ,4,206,0,1,0.40+0.40,0.78-0.22,0.17,0.34
243,Ederson,Manchester City ,3,270,0,0,0.00,0.00,0.00,0.00
244,Isaac Hayden,Newcastle United ,4,340,0,0,0.00,0.00,0.00,0.00
245,Jacob Murphy,Newcastle United ,2,22,0,0,0.02+0.02,0.00,0.10,0.00
246,Victor Lindelöf,Manchester United ,4,360,0,1,0.00,0.25-0.75,0.00,0.06
247,Douglas Luiz,Aston Villa ,3,251,0,0,0.02+0.02,0.11+0.11,0.01,0.04
248,Timothy Castagne,Leicester ,4,360,0,0,0.05+0.05,0.04+0.04,0.01,0.01
249,Nélson Semedo,Wolverhampton Wanderers ,3,270,0,0,0.00,0.15+0.15,0.00,0.05
250,Lyanco ,Southampton,1,1,0,0,0.00,0.00,0.00,0.00
251,Andriy Yarmolenko,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
252,Nikola Vlasic,West Ham ,1,1,0,0,0.00,0.00,0.00,0.00
253,Boubakary Soumare,Leicester ,4,298,0,0,0.04+0.04,0.00,0.01,0.00
254,Joachim Andersen,Crystal Palace ,4,360,0,0,0.00,0.02+0.02,0.00,0.00
255,Ibrahima Konaté,Liverpool ,2,180,0,0,0.00,0.00,0.00,0.00
256,Jadon Sancho,Manchester United ,2,101,0,0,0.05+0.05,0.37+0.37,0.05,0.33
257,Hamza Choudhury,Leicester ,1,62,0,0,0.00,0.00,0.00,0.00
258,Júnior Firpo,Leeds ,1,90,0,0,0.00,0.10+0.10,0.00,0.10
259,Romain Perraud ,Southampton,2,180,0,0,0.03+0.03,0.05+0.05,0.01,0.02
260,Yerry Mina,Everton ,1,90,0,0,0.02+0.02,0.00,0.02,0.00
261,Milot Rashica,Norwich ,4,150,0,1,0.55+0.55,0.22-0.78,0.33,0.13
262,Joe Willock,Newcastle United ,4,163,0,0,0.00,0.00,0.00,0.00
263,Curtis Jones,Liverpool ,3,243,0,1,0.15+0.15,0.19-0.81,0.06,0.07
264,Rayan Ait Nouri,Wolverhampton Wanderers ,1,84,0,0,0.06+0.06,0.00,0.07,0.00
265,Harvey Barnes,Leicester ,2,132,0,1,0.95+0.95,0.35-0.65,0.65,0.24
266,Ibrahima Diallo ,Southampton,4,229,0,1,0.04+0.04,0.19-0.81,0.02,0.08
267,Dwight McNeil,Burnley ,4,360,0,1,0.19+0.19,0.58-0.42,0.05,0.15
268,Fred,Manchester United ,3,251,0,0,0.01+0.01,0.11+0.11,0.00,0.04
269,Ken Sema,Watford ,2,87,0,0,0.00,0.00,0.00,0.00
270,Kortney Hause,Aston Villa ,2,172,0,0,0.00,0.00,0.00,0.00
271,Edouard Mendy,Chelsea ,4,360,0,0,0.00,0.00,0.00,0.00
