,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
426,Yarmolenko,5.1,9,MID,1.0,WHU,1.76,yarmolenko
365,Djenepo,5.2,9,MID,1.1,SOU,1.73,djenepo
100,Barnes,5.2,9,FWD,1.1,BUR,1.73,barnes
9,Holding,4.1,7,DEF,1.8,ARS,1.71,holding
293,Martial,7.6,13,FWD,1.9,MUN,1.71,martial
260,Elliott,5.3,9,MID,2.2,LIV,1.70,elliott
399,Rose,4.2,7,DEF,0.9,WAT,1.67,rose
313,Hendrick,4.8,8,MID,2.7,NEW,1.67,hendrick
135,Sarr,4.9,8,DEF,8.0,CHE,1.63,sarr
416,Etebo,4.3,7,MID,1.2,WAT,1.63,etebo
420,Tufan,5.0,8,MID,1.3,WAT,1.60,tufan
373,Lyanco,4.4,7,DEF,0.9,SOU,1.59,lyanco
273,Steffen,4.5,7,GKP,7.0,MCI,1.56,steffen
408,Sema,5.2,8,MID,1.1,WAT,1.54,sema
390,Lo Celso,5.9,9,MID,1.3,TOT,1.53,lo celso
340,Placheta,4.7,7,MID,1.8,NOR,1.49,placheta
454,Fabio Silva,5.6,8,FWD,1.0,WOL,1.43,fabio silva
27,Traoré,5.7,8,MID,1.6,AVL,1.40,traore
255,Kelleher,4.3,6,GKP,6.0,LIV,1.40,kelleher
163,Delph,4.3,6,MID,1.0,EVE,1.40,delph
440,Vlasic,5.7,8,MID,1.1,WHU,1.40,vlasic
119,Barkley,5.2,7,MID,1.4,CHE,1.35,barkley
122,Arrizabalaga,4.7,6,GKP,6.0,CHE,1.28,arrizabalaga
421,Nkoulou,4.4,5,DEF,1.7,WAT,1.14,nkoulou
231,Summerville,4.5,5,MID,1.0,LEE,1.11,summerville
394,Bryan,5.7,6,MID,1.0,TOT,1.05,bryan
259,N.Williams,3.9,4,DEF,4.0,LIV,1.03,n.williams
112,Lennon,4.9,5,MID,0.8,BUR,1.02,lennon
233,Cresswell,4.0,4,DEF,1.0,LEE,1.00,cresswell
28,Sanson,5.0,5,MID,1.2,AVL,1.00,sanson
413,Louza,5.2,5,MID,1.0,WAT,0.96,louza
86,Connolly,5.3,5,FWD,1.2,BHA,0.94,connolly
339,Sørensen,4.3,4,DEF,1.3,NOR,0.93,sørensen
0,Leno,4.5,4,GKP,1.3,ARS,0.89,leno
209,Bertrand,4.6,4,DEF,1.0,LEI,0.87,bertrand
357,S.Armstrong,5.8,5,MID,1.0,SOU,0.86,s.armstrong
87,Alzate,4.8,4,MID,1.3,BHA,0.83,alzate
138,Saúl,5.0,4,MID,0.8,CHE,0.80,saul
