name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Koch,LEE,DEF,4.4,Injured,90,0,0,0.0,0.1
Poveda,LEE,MID,4.5,NotAvail,0,0,0,0.0,0.0
Raphinha,LEE,MID,6.6,Available,584,31,3,4.4,19.3
Shackleton,LEE,MID,4.5,Available,236,11,0,2.2,0.2
Struijk,LEE,DEF,4.4,Available,297,0,0,0.0,0.2
Meslier,LEE,GKP,5.0,Available,630,19,0,2.7,2.9
Harrison,LEE,MID,5.8,Available,360,9,0,1.8,1.4
James,LEE,MID,6.0,Available,343,10,0,1.7,0.5
Firpo,LEE,DEF,4.8,Available,464,8,2,1.3,0.5
Klaesson,LEE,GKP,4.4,Available,0,0,0,0.0,0.1
Greenwood,LEE,FWD,4.5,Available,0,0,0,0.0,2.1
Summerville,LEE,MID,4.5,Doubtful,24,2,0,1.0,0.1
Forshaw,LEE,MID,4.5,Injured,0,0,0,0.0,0.0
Drameh,LEE,DEF,4.0,Available,0,0,0,0.0,0.1
Cresswell,LEE,DEF,4.0,Available,90,1,0,1.0,0.4
McCarron,LEE,MID,4.5,Available,0,0,0,0.0,0.0
Gelhardt,LEE,FWD,4.5,Available,0,0,0,0.0,0.3
Kenneh,LEE,MID,4.5,Available,0,0,0,0.0,0.0
McKinstry,LEE,MID,4.5,Available,0,0,0,0.0,0.0
Hjelde,LEE,DEF,4.0,Available,0,0,0,0.0,0.0
Milner,LIV,MID,4.9,Available,180,5,0,2.5,0.1
Henderson,LIV,MID,5.0,Available,367,15,2,3.0,1.0
Adrián,LIV,GKP,4.4,Available,0,0,0,0.0,0.2
Matip,LIV,DEF,5.0,Available,450,21,0,4.2,3.4
Thiago,LIV,MID,5.3,Injured,176,12,1,3.0,0.5
Shaqiri,LIV,MID,5.9,NotAvail,0,0,0,0.0,0.0
Chamberlain,LIV,MID,5.8,Available,68,4,0,2.0,0.1
Firmino,LIV,FWD,8.8,Available,102,10,2,2.5,2.0
van Dijk,LIV,DEF,6.6,Available,540,34,4,5.7,17.0
Mané,LIV,MID,11.9,Available,540,34,0,5.7,2.6
Alisson,LIV,GKP,6.0,Available,540,34,4,5.7,8.7
Fabinho,LIV,MID,5.4,Available,389,18,0,3.6,0.9
Salah,LIV,MID,12.6,Available,540,57,8,9.5,59.4
Robertson,LIV,DEF,7.0,Available,265,12,1,4.0,2.0
Origi,LIV,FWD,4.9,Available,2,1,0,1.0,1.1
Minamino,LIV,MID,5.2,Available,0,0,0,0.0,0.1
Alexander-Arnold,LIV,DEF,7.5,Injured,450,35,8,7.0,23.4
Gomez,LIV,DEF,4.8,Available,1,1,0,1.0,0.5
Keita,LIV,MID,5.0,Available,191,13,0,3.2,0.2
Jota,LIV,MID,7.6,Available,433,30,0,5.0,17.8
Phillips,LIV,DEF,4.3,Available,0,0,0,0.0,0.2
Kelleher,LIV,GKP,4.4,Available,0,0,0,0.0,0.1
Konaté,LIV,DEF,5.2,Available,90,6,0,6.0,1.2
Jones,LIV,MID,5.0,Available,81,9,1,4.5,0.2
Tsimikas,LIV,DEF,4.0,Available,274,23,2,5.8,17.6
N.Williams,LIV,DEF,3.9,Available,0,0,0,0.0,0.7
R.Williams,LIV,DEF,4.4,NotAvail,0,0,0,0.0,0.0
Davies,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Elliott,LIV,MID,5.4,Injured,249,9,0,2.2,0.1
Woodburn,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.0
Grealish,MCI,MID,8.0,Available,520,24,0,4.0,17.9
Walker,MCI,DEF,5.5,Available,405,26,1,5.2,6.6
Gündogan,MCI,MID,7.2,Injured,428,19,1,3.8,2.6
De Bruyne,MCI,MID,11.9,Available,116,5,0,1.7,1.7
Stones,MCI,DEF,5.3,Available,0,0,0,0.0,3.2
Mendy,MCI,DEF,5.3,NotAvail,78,3,1,3.0,0.4
Mahrez,MCI,MID,8.7,Available,154,14,0,2.8,2.5
Sterling,MCI,MID,10.7,Available,249,14,0,2.3,1.4
Cancelo,MCI,DEF,6.1,Available,540,44,6,7.3,15.8
Ederson,MCI,GKP,6.0,Available,540,34,2,5.7,10.0
Aké,MCI,DEF,4.9,Available,180,8,0,4.0,0.5
Laporte,MCI,DEF,5.5,Available,360,30,2,7.5,3.4
Steffen,MCI,GKP,4.5,Available,0,0,0,0.0,0.2
Bernardo,MCI,MID,6.9,Available,398,23,2,4.6,1.7
Dias,MCI,DEF,6.1,Available,540,39,5,6.5,28.0
Jesus,MCI,FWD,8.6,Available,409,36,8,6.0,6.9
Zinchenko,MCI,DEF,5.3,Injured,56,2,0,1.0,0.8
Foden,MCI,MID,7.9,Available,104,4,0,2.0,0.9
Rodrigo,MCI,MID,5.5,Available,360,15,0,3.8,0.6
Torres,MCI,MID,7.0,Available,303,26,2,6.5,8.7
Fernandinho,MCI,MID,4.9,Available,163,7,0,1.8,0.4
Palmer,MCI,MID,4.5,Available,21,1,0,1.0,0.1
Edozie,MCI,MID,4.9,Available,0,0,0,0.0,0.0
Doyle,MCI,MID,4.5,NotAvail,0,0,0,0.0,0.0
Carson,MCI,GKP,4.0,Available,0,0,0,0.0,0.4
Mbete,MCI,DEF,4.0,Available,0,0,0,0.0,0.0
Wilson-Esbrand,MCI,DEF,4.0,Available,0,0,0,0.0,0.0
Lavia,MCI,MID,4.5,Available,0,0,0,0.0,0.0
Cavani,MUN,FWD,8.4,Available,101,3,0,1.0,1.9
de Gea,MUN,GKP,5.1,Available,630,28,2,4.0,6.6
