,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
28,Onyeka,4.9,28,MID,1.9,BRE,5.71,onyeka
56,Coleman,4.9,28,DEF,2.2,EVE,5.71,coleman
148,Gilmour,4.4,25,MID,2.3,NOR,5.68,gilmour
88,Soumaré,4.8,27,MID,2.1,LEI,5.62,soumare
32,Groß,5.7,32,MID,2.7,BHA,5.61,groß
54,Loftus-Cheek,5.4,30,MID,2.5,CHE,5.56,loftus-cheek
188,Lanzini,5.8,32,MID,2.7,WHU,5.52,lanzini
74,Iwobi,5.8,32,MID,2.5,EVE,5.52,iwobi
98,Wan-Bissaka,5.1,28,DEF,2.2,MUN,5.49,wan-bissaka
22,Ajer,4.4,24,DEF,3.4,BRE,5.45,ajer
100,Varane,5.5,30,DEF,4.3,MUN,5.45,varane
114,Gibson,4.4,24,DEF,1.7,NOR,5.45,gibson
42,Ronaldo,12.5,68,FWD,4.9,MUN,5.44,ronaldo
87,Ndidi,4.8,26,MID,2.2,LEI,5.42,ndidi
57,Digne,5.0,27,DEF,2.1,EVE,5.40,digne
44,Gudmundsson,5.4,29,MID,1.9,BUR,5.37,gudmundsson
146,Almirón,5.1,27,MID,1.7,NEW,5.29,almiron
93,Zinchenko,5.3,28,DEF,4.0,MCI,5.28,zinchenko
25,Richarlison,7.4,39,FWD,3.5,EVE,5.27,richarlison
26,Burn,4.4,23,DEF,2.9,BHA,5.23,burn
126,Fernandinho,4.8,25,MID,2.3,MCI,5.21,fernandinho
94,Phillips,4.8,25,MID,2.1,LEE,5.21,phillips
61,Godfrey,4.8,25,DEF,1.8,EVE,5.21,godfrey
95,Shaw,5.0,26,DEF,2.2,MUN,5.20,shaw
98,Harrison,5.6,29,MID,1.9,LEE,5.18,harrison
1,Lacazette,8.5,44,FWD,3.1,ARS,5.18,lacazette
90,Aké,4.7,24,DEF,4.0,MCI,5.11,ake
5,Fernández,4.5,23,GKP,2.9,BRE,5.11,fernandez
78,Gordon,4.5,23,MID,1.6,EVE,5.11,gordon
140,Willock,5.7,29,MID,1.8,NEW,5.09,willock
33,March,5.3,27,MID,1.9,BHA,5.09,march
28,Webster,4.4,22,DEF,2.4,BHA,5.00,webster
200,Trincão,5.6,28,MID,2.0,WOL,5.00,trincao
148,Masuaku,4.4,22,DEF,3.1,WHU,5.00,masuaku
136,McTominay,5.4,27,MID,1.8,MUN,5.00,mctominay
115,Giannoulis,4.4,22,DEF,2.4,NOR,5.00,giannoulis
196,Dendoncker,4.8,24,MID,1.7,WOL,5.00,dendoncker
69,Thomas,4.3,21,DEF,2.3,LEI,4.88,thomas
49,Sargent,5.4,26,FWD,1.6,NOR,4.81,sargent
154,Rashica,5.2,25,MID,1.9,NOR,4.81,rashica
119,De Bruyne,11.9,57,MID,4.4,MCI,4.79,de bruyne
8,Sambi Lokonga,4.8,23,MID,1.8,ARS,4.79,sambi lokonga
155,Lees-Melou,4.8,23,MID,1.8,NOR,4.79,lees-melou
103,Lascelles,4.4,21,DEF,1.4,NEW,4.77,lascelles
199,Podence,5.5,26,MID,2.2,WOL,4.73,podence
130,Pogba,7.4,35,MID,3.9,MUN,4.73,pogba
143,Fraser,5.3,25,MID,1.8,NEW,4.72,fraser
33,Rodrigo,6.2,29,FWD,2.4,LEE,4.68,rodrigo
90,Lookman,6.0,28,MID,2.5,LEI,4.67,lookman
37,Firmino,8.7,40,FWD,4.0,LIV,4.60,firmino
0,Aubameyang,9.6,44,FWD,3.1,ARS,4.58,aubameyang
180,Cleverley,4.8,22,MID,1.8,WAT,4.58,cleverley
185,Kucka,5.5,25,MID,1.9,WAT,4.55,kucka
129,Matic,4.4,20,MID,2.2,MUN,4.55,matic
