,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
315,Laporte,Man City,D,A,5.3,£6.0m,0,---,101879
316,Steffen,Man City,G,A,0.5,£4.0m,0,---,101879
317,Bernardo,Man City,M,A,7.9,£7.0m,0,---,101879
318,Dias,Man City,D,A,9.5,£6.0m,0,---,101879
319,Zinchenko,Man City,D,A,0.4,£5.0m,0,---,101879
320,Foden,Man City,M,A,7.6,£8.0m,0,---,101879
321,Rodri,Man City,M,A,2.4,£6.0m,0,---,101879
322,Palmer,Man City,M,A,0.2,£4.5m,0,---,101879
323,McAtee,Man City,M,A,0,£4.5m,0,---,101879
324,Haaland,Man City,F,A,63.2,£11.5m,0,---,101879
325,Álvarez,Man City,F,A,1.3,£6.5m,0,---,101879
326,Mbete,Man City,D,A,0.1,£4.0m,0,---,101879
327,Lavia,Southampton,M,A,0.4,£4.5m,0,---,101879
328,Wilson-Esbrand,Man City,D,A,0.5,£4.0m,0,---,101879
329,Delap,Man City,F,A,0.6,£4.5m,0,---,101879
330,Ortega,Man City,G,A,0.8,£4.0m,0,---,101879
331,Phillips,Man City,M,A,0.9,£5.0m,0,---,101879
332,Carson,Man City,G,A,0.2,£4.0m,0,---,101879
333,Ronaldo,Man Utd,F,A,4.7,£10.5m,0,---,101879
334,De Gea,Man Utd,G,A,5.9,£5.0m,0,---,101879
335,Jones,Man Utd,D,A,0.4,£4.0m,0,---,101879
336,Varane,Man Utd,D,A,2,£5.0m,0,---,101879
337,Maguire,Man Utd,D,A,0.7,£5.0m,0,---,101879
338,Fred,Man Utd,M,A,0.9,£5.5m,0,---,101879
339,Shaw,Man Utd,D,A,0.8,£5.0m,0,---,101879
340,Fernandes,Man Utd,M,A,3.9,£10.0m,0,---,101879
341,Telles,Man Utd,D,A,0.2,£5.0m,0,---,101879
342,Rashford,Man Utd,M,A,10,£6.5m,0,---,101879
343,Van de Beek,Man Utd,M,A,1.4,£5.5m,0,---,101879
344,Lindelöf,Man Utd,D,A,0.2,£4.5m,0,---,101879
345,McTominay,Man Utd,M,A,0.2,£5.0m,0,---,101879
