,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
368,Valery,3.9,2,DEF,2.0,SOU,0.51,valery
226,Hjelde,4.0,2,DEF,1.0,LEE,0.50,hjelde
63,Steele,4.0,2,GKP,2.0,BHA,0.50,steele
370,Caballero,4.3,2,GKP,1.0,SOU,0.47,caballero
329,Byram,4.4,2,DEF,0.4,NOR,0.45,byram
274,McAtee,4.4,2,MID,1.0,MCI,0.45,mcatee
175,Dobbin,4.5,2,FWD,0.7,EVE,0.44,dobbin
81,Sarmiento,4.5,2,MID,1.0,BHA,0.44,sarmiento
297,Jones,4.5,2,DEF,2.0,MUN,0.44,jones
358,Smallbone,4.5,2,MID,2.0,SOU,0.44,smallbone
61,Lössl,4.5,2,GKP,1.0,BRE,0.44,lossl
435,Areola,4.7,2,GKP,2.0,WHU,0.43,areola
290,Bailly,4.9,2,DEF,0.5,MUN,0.41,bailly
59,Stevens,3.9,1,DEF,1.0,BRE,0.26,stevens
438,Ashby,4.0,1,DEF,1.0,WHU,0.25,ashby
168,Begović,4.0,1,GKP,1.0,EVE,0.25,begovic
386,Rodon,4.2,1,DEF,1.0,TOT,0.24,rodon
437,Kral,4.4,1,MID,1.0,WHU,0.23,kral
223,McCarron,4.4,1,MID,1.0,LEE,0.23,mccarron
225,McKinstry,4.3,1,MID,1.0,LEE,0.23,mckinstry
150,Rak-Sakyi,4.4,1,MID,1.0,CRY,0.23,rak-sakyi
82,Ferguson,4.5,1,FWD,1.0,BHA,0.22,ferguson
276,Delap,4.5,1,FWD,1.0,MCI,0.22,delap
142,Ferguson,4.5,1,DEF,1.0,CRY,0.22,ferguson
439,Perkins,4.5,1,MID,1.0,WHU,0.22,perkins
219,Greenwood,4.5,1,FWD,1.0,LEE,0.22,greenwood
227,Bate,4.5,1,MID,1.0,LEE,0.22,bate
251,Morton,4.5,1,MID,0.5,LIV,0.22,morton
252,Gordon,4.5,1,MID,1.0,LIV,0.22,gordon
176,Tosun,5.0,1,FWD,1.0,EVE,0.20,tosun
275,Kayky,5.0,1,FWD,1.0,MCI,0.20,kayky
178,Mykolenko,5.0,1,DEF,1.0,EVE,0.20,mykolenko
459,Chiquinho,5.5,1,MID,1.0,WOL,0.18,chiquinho
450,Neto,6.4,1,MID,1.0,WOL,0.16,neto
